project_name,objectid,province_territory,project_size,commissioning_date,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,derated_uprated,rotor_diameter_m,rotor_dia_assumed,hub_height_m,hub_height_assumed,latitude,longitude,manufacturer,model
SNEEC,5014,Quebec,2,2010,4.1,SNC2,2/2,2050.0,Neither,92.0,False,80.0,False,48.986696,-64.450452,Senvion,MM92
Sable,1703,Nova Scotia,6,2015,13.8,SLE6,6/6,2300.0,Neither,82.0,False,78.0,False,45.3199290669499,-60.9909145842278,Enercon,E-82/2300
Saint Rose,1640,Nova Scotia,1,2013,1.99,STR1,1/1,1990.0,Neither,100.0,False,95.0,False,46.332041,-61.180835,Vestas,V100
Saint-Damase,5696,Quebec,10,2014,23.5,SAD9,9/10,2350.0,Neither,92.0,False,98.0,False,48.6547299484462,-67.8321470841946,Enercon,E-92
Saint-Philémon,5806,Quebec,8,2015,24.0,SPH8,8/8,3000.0,Neither,82.0,False,85.0,False,46.676433134431,-70.3531362825295,Enercon,E-82
Saint-Robert-Bellarmin,5264,Quebec,40,2012,80.0,SRB9,9/40,2000.0,Neither,92.0,False,80.0,False,45.7143363504276,-70.4951012068885,Senvion,MM92
Seigneurie de Beaupré,6336,Quebec,154,2014,340.0,SDB99,99/154,2300.0,Neither,82.0,False,98.0,False,47.4151816528917,-70.7998522864374,Enercon,E-82 E2
Settlers Landing,4159,Ontario,4,2017,8.0,SET4,4/4,2000.0,Neither,92.5,False,100.0,False,44.1037076241774,-78.6461687044727,Senvion,MM92
Shinish,1188,British Columbia,5,2017,15.0,SHS5,5/5,3000.0,Derated,114.0,False,100.0,False,49.6605089999999,-120.087858,Senvion,3.2 M114
Sinnott Wind Farm,28,Alberta,5,2001,6.5,SWF5,5/5,1300.0,Neither,60.0,False,60.0,False,49.5453945267514,-113.954955462634,Nordex,N60/1300
Skyway 8,3351,Ontario,5,2014,9.48,SKY5,5/5,1950.0,Neither,100.0,False,95.0,False,44.0980664354429,-80.3879876508088,Vestas,V100
Snowy Ridge,4114,Ontario,5,2016,10.0,SNO5,5/5,2000.0,Neither,100.0,False,92.5,False,44.1748275690748,-78.6301883414996,Senvion,MM92
Soderglen,272,Alberta,47,2006,70.5,SOD9,9/47,1500.0,Neither,77.0,False,65.0,False,49.5383204099064,-113.484967560714,GE,GE 1.5SLE
South Branch Wind Farm,3361,Ontario,10,2014,30.0,SBW9,9/10,3000.0,Neither,113.0,False,99.5,False,44.9861079388688,-75.3449633093799,Siemens,SWT 3.0-113
South Canoe,1737,Nova Scotia,34,2015,102.0,SOC9,9/34,3000.0,Neither,116.0,False,92.0,False,44.8019211869657,-64.2997597988805,Acciona,AW-3000/116
South Cape Mabou,1641,Nova Scotia,1,2013,2.0,SCM1,1/1,2000.0,Neither,82.0,False,78.0,False,46.150546,-61.381005,Enercon,E-82
South Kent Wind Farm,3485,Ontario,124,2014,270.0,SKW99,99/124,2177.0,Derated,101.0,False,99.5,False,42.4508089643975,-81.8560248154135,Siemens,SWT 2.3-101
South Side (Thames River II),2424,Ontario,45,2010,50.0,THM45,45/45,2000.0,Neither,82.0,False,78.0,False,42.0912437206833,-83.0419228605829,Enercon,E-82/2000
Spiddle Hill,1642,Nova Scotia,2,2013,1.6,SPI2,2/2,800.0,Neither,52.9,False,60.0,True,45.613983,-63.196884,Enercon,E-53
Springhill,1497,Nova Scotia,2,2006,2.1,SPG2,2/2,1200.0,Neither,62.0,False,69.0,False,45.611156,-64.0135678,Vensys,V62
Springwood,3489,Ontario,4,2014,8.2,SPR4,4/4,2050.0,Neither,92.5,False,100.0,False,43.7896153396966,-80.3986238973037,Senvion,MM92
St. Columban,3934,Ontario,15,2015,33.0,SCO9,9/15,2300.0,Neither,113.0,False,99.5,False,43.574705685157,-81.2722485765422,Siemens,SWT 2.3-113
St. Joseph,1252,Manitoba,60,2011,138.0,SJH9,9/60,2300.0,Neither,101.0,False,80.0,False,49.1896495100212,-97.3271197570444,Siemens,SWT 2.3-101
St. Lawrence,1459,Newfoundland and Labrador,9,2008,27.0,STL9,9/9,3000.0,Neither,90.0,False,80.0,False,46.972828,-55.422809,Vestas,V90
St. Leon,1325,Manitoba,73,2012,120.45,LEO9,9/73,1650.0,Neither,82.0,False,80.0,False,49.4124783748125,-98.5243694639578,Vestas,V82
Sumac Ridge,4164,Ontario,5,2017,10.25,SAC5,5/5,2050.0,Neither,100.0,False,92.5,False,44.1561245833231,-78.6235286508637,Senvion,MM92
Summerhaven,2987,Ontario,56,2013,124.38,SMH9,9/56,2221.0,Neither,101.0,False,80.0,False,42.9075533476226,-79.810665532977,Siemens,SWT 2.3-93
Summerside Project,4493,Prince Edward Island,4,2009,12.0,SUM4,4/4,3000.0,Neither,90.0,False,80.0,False,46.4407883,-63.7960895,Vestas,V90
Summerview,392,Alberta,61,2010,136.2,SVW9,9/61,3000.0,Neither,90.0,False,80.0,False,49.6392613854151,-113.733746128477,Vestas,V90/3000
Sunbridge,6560,Saskatchewan,17,2001,11.22,SBR9,9/17,660.0,Neither,47.0,False,65.0,False,50.0880375737522,-108.382138641702,Vestas,V47
Suncor Adelaide Wind Energy,3952,Ontario,18,2015,39.98,SAW9,9/18,2221.0,Neither,113.0,False,99.5,False,43.0386399091366,-81.589143309608,Siemens,SWT-2.3-113
Swanton Line (Thames River I),2152,Ontario,45,2009,40.0,THM20,20/45,2000.0,Neither,82.0,False,78.0,False,42.2695686533666,-82.2633383983023,Enercon,E-82/2000
Taber Wind Farm,429,Alberta,37,2010,85.1,TWF9,9/37,2300.0,Neither,71.0,False,85.0,False,49.741148834816,-111.903035076507,Enercon,E-70/2300
Talbot,2467,Ontario,43,2010,98.9,TAL9,9/43,2300.0,Neither,101.0,False,80.0,False,42.4746461529564,-81.6790840262105,Siemens,SWT 2.3-101
Tiverton,1786,Ontario,1,1995,0.6,TIV1,1/1,600.0,Neither,43.0,False,50.0,False,44.312925,-81.548357,Tacke,TW 600
Tiverton Riverhurst,1498,Nova Scotia,1,2006,0.9,TIR1,1/1,900.0,Neither,54.0,False,75.0,True,44.407,-66.189249,EWT,DW54
Truro Heights,1656,Nova Scotia,2,2014,4.0,TRU2,2/2,2000.0,Neither,100.0,False,95.0,True,45.3178184801005,-63.3402260931802,Vestas,V100/2000
Témiscouata,6543,Quebec,32,2015,75.2,TTA9,9/32,2350.0,Neither,92.0,False,85.0,False,47.6615608712975,-69.0936253237566,Enercon,E-92
Underwood Wind Farm,2262,Ontario,110,2009,181.5,UWF99,99/110,1650.0,Neither,82.0,False,80.0,False,44.3736973882346,-81.3868965022649,Vestas,V82/1650
