project_name,objectid,province_territory,project_size,commissioning_date,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,derated_uprated,rotor_diameter_m,rotor_dia_assumed,hub_height_m,hub_height_assumed,latitude,longitude,manufacturer,model
East Lake St. Clair Wind,2813,Ontario,55,2013,99.0,ELS9,9/55,1800.0,Neither,90.0,False,80.0,False,42.559673112769,-82.3322445775178,Vestas,V90/1800
East Point Eastern Kings Wind,4475,Prince Edward Island,10,2007,30.0,EKW9,9/10,3000.0,Neither,90.0,False,81.0,False,46.458899,-62.0281793,Vestas,V90
Ellershouse,1761,Nova Scotia,10,2017,23.15,ELL9,9/10,2300.0,Neither,92.0,False,98.0,False,44.9338189664227,-64.001696100876,Enercon,E-92
Erie Shores,1860,Ontario,66,2006,99.0,ERS9,9/66,1500.0,Neither,77.0,False,80.0,False,42.6747332442562,-80.6255471535217,GE,GE 1.5SLE
Erieau Wind,2868,Ontario,55,2013,99.0,EUW9,9/55,1800.0,Neither,90.0,False,80.0,False,42.3620491219229,-81.9176522106131,Vestas,V90/1800
Ernestown,3686,Ontario,5,2015,10.0,ERN5,5/5,2000.0,Neither,82.0,False,98.0,False,44.2396020491186,-76.7145746078773,Enercon,E-82/2000
Exhibition Place Turbine,1794,Ontario,1,2003,0.75,EPT1,1/1,750.0,Neither,52.0,False,65.0,False,43.6303932961729,-79.4247878972222,Lagerwey,LW52
Fairmont,1635,Nova Scotia,2,2012,4.6,FAI2,2/2,2300.0,Neither,82.0,False,78.0,False,45.6821764491359,-61.9881347230386,Enercon,E-82/2300
Fermeuse,1468,Newfoundland and Labrador,9,2009,27.0,FEW9,9/9,3000.0,Neither,90.0,False,80.0,False,46.989586,-52.970072,Vestas,V90
Ferndale,4315,Ontario,3,2006,5.1,FER3,3/3,1800.0,Neither,82.0,False,78.0,False,44.951129386886,-81.2628592327483,Vestas,V82/1650
Fitzpatrick,1672,Nova Scotia,1,2015,1.4,FTZ1,1/1,1400.0,Derated,82.5,False,80.0,True,45.623173,-62.908047,GE,GE 1.6-82.5
Fitzpatrick Mountain,1484,Nova Scotia,2,2006,1.6,FZM2,2/2,800.0,Neither,48.0,False,50.0,False,45.627252,-62.898996,Enercon,E-48/800
Frampton,5761,Quebec,12,2015,24.0,FRM9,9/12,2000.0,Neither,82.0,False,83.0,False,46.452883856546,-70.7307896400876,Enercon,E-82
Frogmore,2072,Ontario,6,2008,9.9,FRO6,6/6,1650.0,Neither,82.0,False,90.0,True,42.5900866883661,-80.5487722730466,Vestas,V82/1650
Front Line (Thames River I),2138,Ontario,45,2009,40.0,THM9,9/45,2000.0,Neither,82.0,False,78.0,False,42.3961674868399,-81.862891369191,Enercon,E-82/2000
Gaetz Brook,1648,Nova Scotia,1,2014,2.3,GAE1,1/1,2300.0,Neither,92.0,False,98.0,False,44.757914,-63.204633,Enercon,E-92
Ganaraska,3964,Ontario,9,2016,17.6,GAR9,9/9,2050.0,Neither,92.0,False,100.0,False,44.019983,-78.575969,Senvion,MM92
Gardiner Mines (Cape Breton University),1764,Nova Scotia,3,2017,7.05,GAM3,3/3,2350.0,Neither,92.0,False,85.0,False,46.1971237216746,-60.0803394346984,Enercon,E-92/2350
Gesner,2873,Ontario,5,2013,10.0,GES5,5/5,2000.0,Neither,90.0,False,100.0,False,42.5254293482725,-81.7352862260547,Gamesa,G90/2000
Ghost Pine Wind Farm,370,Alberta,51,2010,81.6,GPW9,9/51,1600.0,Neither,100.0,False,80.0,False,51.9532723323105,-113.282432267519,GE,GE 1.6-100
Glace Bay & Donkin,1479,Nova Scotia,2,2005,1.6,GBD2,2/2,800.0,Neither,48.0,False,50.0,False,46.2177852243373,-59.8971743991076,Enercon,E-48/800
Glen Dhu,1616,Nova Scotia,27,2011,62.1,DHU9,9/27,2300.0,Neither,82.0,False,78.0,False,45.6882382711216,-62.1963197560149,Enercon,E-82/2300
Goodwood,1480,Nova Scotia,1,2005,0.6,GWO1,1/1,600.0,Neither,48.0,False,50.0,True,44.607785,-63.678278,Turbowinds,T600-48
Gosfield,2375,Ontario,22,2010,50.6,GOF9,9/22,2300.0,Neither,101.0,False,80.0,False,42.1681421364236,-82.6574552371943,Siemens,SWT 2.3-101
Goshen Wind Energy,3749,Ontario,63,2015,102.0,GOS9,9/63,1600.0,Neither,100.0,False,80.0,False,43.4029193663914,-81.5542333917991,GE,GE 1.6-100
Goulais Wind Farm,3760,Ontario,11,2015,25.3,GWF9,9/11,2300.0,Neither,113.0,False,98.5,False,46.6776972357204,-84.3535910942468,Siemens,SWT 2.3-113
Gracey (Thames River II),2380,Ontario,45,2010,50.0,THM25,25/45,2000.0,Neither,82.0,False,78.0,False,42.2730825412394,-82.4842952533756,Enercon,E-82/2000
Grand Bend Wind Farm,4004,Ontario,40,2016,99.3,GBW9,9/40,2483.0,Neither,113.0,False,99.5,False,43.4564414526478,-81.6716264665446,Siemens,SWT 3.0-113
Grand Renewable Wind,3222,Ontario,67,2014,148.8,GRW9,9/67,2221.0,Neither,101.0,False,99.5,False,42.9490961808082,-79.5922471701701,Siemens,SWT 2.3-101
Grand Valley,3776,Ontario,25,2015,59.86,GVA9,9/25,2648.0,Neither,113.0,False,99.5,False,44.0366743314766,-80.3104229642677,Siemens,SWT 3.2-113
Greenfield,1674,Nova Scotia,2,2015,3.2,GFD2,2/2,1600.0,Neither,82.5,False,80.0,False,45.348556,-63.139892,GE,GE 1.6-82.5
Greenwich Renewable Energy Project,2627,Ontario,43,2011,98.9,GRE9,9/43,2300.0,Neither,101.0,False,80.0,False,48.8004710198705,-88.7066736927886,Siemens,SWT 2.3-101
Grey Highlands Clean Energy,4013,Ontario,9,2016,18.5,GHC9,9/9,2050.0,Neither,92.5,False,100.0,False,44.3328834006134,-80.3155854908095,Senvion,MM92
Grey Highlands Zero Emissions People,4018,Ontario,5,2016,10.0,ZEP5,5/5,2000.0,Neither,92.5,False,100.0,False,44.3245192190158,-80.2770556189157,Senvion,MM92
Gros-Morne,6182,Quebec,141,2012,211.5,GRM99,99/141,1500.0,Neither,77.0,False,80.0,False,49.2379750690937,-65.3654559901494,GE,GE 1.5SLE
Grouse Mountain,935,British Columbia,1,2010,1.5,GMT1,1/1,1500.0,Neither,77.0,False,65.0,False,49.3873566619974,-123.074034600317,Leitwind,LTW77-1500
Gunn's Hill,4028,Ontario,10,2016,18.0,GUN9,9/10,1880.0,Neither,92.5,False,100.0,False,43.084846586087,-80.6542550907746,Senvion,MM82
HAF Energy,3227,Ontario,5,2014,9.0,HAF5,5/5,1800.0,Neither,100.0,False,85.0,False,43.1247877707331,-79.6935875720736,Vestas,V100/1800
Haeckel Hill,6698,Yukon,2,2000,0.81,HAH2,2/2,660.0,Neither,47.0,False,37.0,False,60.748818,-135.229274,Vestas,V47
Halkirk Wind,600,Alberta,83,2012,149.4,HAL9,9/83,1800.0,Neither,90.0,False,90.0,False,52.32957237,-111.971302497156,Vestas,V90/1800
Hardwood Lands Community Winds,1746,Nova Scotia,3,2016,6.0,HLC3,3/3,2000.0,Neither,110.0,False,95.0,False,45.095305,-63.521822,Vestas,V110/2000
Harrow,2404,Ontario,24,2010,39.6,HAR9,9/24,1650.0,Neither,82.0,False,80.0,False,42.0439943484539,-82.9350737043,Vestas,V82/1650
Henvey Inlet Wind Farm,4312,Ontario,87,2019,300.0,HIW9,9/87,3450.0,Neither,136.0,False,132.0,False,45.881204,-80.5922344,Vestas,V136/3450
Hermanville Clear Spring Wind Development,4552,Prince Edward Island,10,2014,30.0,HCS9,9/10,3000.0,Neither,116.0,False,80.0,False,46.4594693,-62.2783135,Acciona,AW116/3000
Higgins Mountain,1487,Nova Scotia,3,2006,3.6,HIG3,3/3,1200.0,Neither,62.0,False,69.0,False,45.600387946984,-63.6139343604649,Vensys,V62
Hillside Boularderie,1676,Nova Scotia,2,2015,4.7,HBO2,2/2,2350.0,Neither,92.0,False,98.0,False,46.2470476304963,-60.3483952982082,Enercon,E-92/2350
Huron Wind,1793,Ontario,5,2002,9.0,HUR5,5/5,1800.0,Neither,80.0,False,80.0,False,44.3180592826314,-81.5403439559677,Vestas,V80/1800
Irish Mountain,1638,Nova Scotia,1,2013,2.0,IRM1,1/1,2000.0,Neither,82.0,False,80.0,True,45.493145,-62.624248,Enercon,E-82
Isle Madame,1677,Nova Scotia,1,2015,1.99,ISL1,1/1,1990.0,Neither,100.0,False,100.0,False,45.56767,-61.074655,Vestas,V100
Jardin d'Éole (Saint-Ulric Saint-Léandre),5012,Quebec,85,2009,133.5,SUL9,9/85,1500.0,Neither,77.0,False,80.0,False,48.775459762301,-67.5149142878589,GE,GE 1.5SLE
Jericho,3319,Ontario,92,2014,149.0,JER92,92/92,1600.0,Neither,100.0,False,80.0,False,43.1992959406373,-81.8177772008758,GE,GE 1.6-100
K2 Wind Power Facility,3916,Ontario,140,2015,269.96,KII99,99/140,2300.0,Neither,101.0,False,99.5,False,44.0151924870371,-81.5572447583765,Siemens,SWT 2.3-101
Kaizer Meadow,1649,Nova Scotia,1,2014,2.0,KAI1,1/1,2000.0,Neither,82.0,False,80.0,False,44.727646,-64.254331,Enercon,E-82
Kemptown,1680,Nova Scotia,3,2015,5.04,KEM3,3/3,1680.0,Uprated,82.5,False,80.0,False,45.4493003460432,-63.1116076280797,GE,GE 1.6-82.5
Kent Breeze Wind Farm,2635,Ontario,8,2011,20.0,KBW8,8/8,2500.0,Neither,100.0,False,85.0,False,42.556298404829,-82.0234547526882,GE,GE 2.5-100
Kent Hills 1,1357,New Brunswick,55,2008,167.25,KHW9,9/55,3000.0,Neither,90.0,False,80.0,False,45.8396292,-64.8422602,Vestas,V90
Kent Hills 2,1408,New Brunswick,55,2010,167.25,KHW50,50/55,3000.0,Neither,90.0,False,80.0,False,45.8273428,-64.8764978,Vestas,V90
Kent Hills 3,1444,New Brunswick,55,2018,167.25,KHW59,55/55,3300.0,Neither,126.0,False,117.0,False,45.8003973,-64.8345324,Vestas,V126
Ketch Harbour,1749,Nova Scotia,3,2016,4.6,KET3,3/3,1600.0,Neither,82.5,False,80.0,False,44.539663,-63.6099199999999,GE,GE 1.6-82.5
Kettles Hill,900,Alberta,35,2007,63.0,KEH9,9/35,1800.0,Neither,80.0,False,67.0,False,49.5287084558032,-113.796460728678,Vestas,V80/1800
Kingsbridge I Wind Power,1882,Ontario,22,2006,39.6,KIN9,9/22,1800.0,Neither,90.0,False,80.0,False,43.9220567422738,-81.6415774587837,Vestas,V90/1800
L'Anse-à-Valleau,4854,Quebec,67,2007,100.5,AAV9,9/67,1500.0,Neither,77.0,False,80.0,False,49.1285497565379,-64.5824143406512,GE,GE 1.5SLE
La Mitis,5676,Quebec,12,2014,24.6,LMT9,9/12,2050.0,Neither,92.0,False,100.0,False,48.37694,-67.820025,Senvion,MM92
Lac Alfred,5523,Quebec,150,2013,300.0,LAA99,99/150,2000.0,Neither,92.0,False,80.0,False,48.4568692815981,-67.664149899488,Senvion,MM92
Lamèque Wind Power Project,1438,New Brunswick,30,2011,45.0,LWP9,9/30,1500.0,Neither,77.0,False,80.0,False,47.8758797,-64.5991772,Acciona,AW-1500/77
Le Granit,5664,Quebec,12,2014,24.6,LGR9,9/12,2050.0,Neither,92.0,False,100.0,False,45.7074909999999,-70.570335,Senvion,MM92
Le Nordais (Cap-Chat),4627,Quebec,75,1999,56.25,CCE9,9/75,750.0,Neither,48.25,False,50.0,False,49.0802110982441,-66.7286811851535,NEG Micon,NM48/750
Le Nordais (Matane),4684,Quebec,57,1999,42.75,MNE9,9/57,750.0,Neither,48.25,False,55.0,False,48.8057653844225,-67.5497071129927,NEG Micon,NM48/750
Le Plateau I,5180,Quebec,69,2012,159.75,LPL9,9/69,2310.0,Neither,71.0,False,84.0,False,48.1181895383442,-67.390283,Enercon,E-72 E4
Le Plateau II,5685,Quebec,69,2014,159.75,LPL69,69/69,2350.0,Neither,92.0,False,85.0,False,48.065899,-67.453351,Enercon,E-92 2.35
Limerock,1683,Nova Scotia,3,2015,5.04,LIM3,3/3,1680.0,Uprated,82.5,False,80.0,False,45.5397735362528,-62.8161913046995,GE,GE 1.6-82.5
Lingan,1636,Nova Scotia,8,2012,18.4,LIN8,8/8,2300.0,Neither,82.0,False,98.0,False,46.247258725705,-60.0292139822243,Enercon,E-82/2300
Little Brook,1476,Nova Scotia,1,2002,0.6,LIB1,1/1,600.0,Neither,48.0,False,50.0,True,44.299,-66.097,Turbowinds,T600-48
Little River Harbour,1650,Nova Scotia,1,2014,1.99,LRH1,1/1,1990.0,Neither,100.0,False,95.0,False,43.753185,-66.03048,Vestas,V100
Liverpool,1766,Nova Scotia,2,2017,4.7,LVR2,2/2,2350.0,Neither,92.0,False,95.0,False,44.0915595893205,-64.7051173806629,Enercon,E-92/2350
Lundbreck Wind Farm,22,Alberta,1,2001,19.5,LWF1,1/1,600.0,Neither,40.0,False,48.0,False,49.58307,-114.215968,Enercon,E-40/600
Macleod Flats,146,Alberta,1,2004,3.0,MAF1,1/1,3000.0,Neither,90.0,False,67.0,False,49.686706,-113.475207,Vestas,V90/3000
Magrath,166,Alberta,20,2004,30.0,MAG9,9/20,1500.0,Neither,77.0,False,65.0,False,49.4061987876591,-112.93422590503,GE,GE 1.5SLE
Marsh Line (Thames River I),2143,Ontario,45,2009,40.0,THM15,15/45,2000.0,Neither,82.0,False,78.0,False,42.4774012644541,-82.3495494869186,Enercon,E-82/2000
Marshville Limited,1495,Nova Scotia,1,2006,0.8,MVL1,1/1,800.0,Neither,48.0,False,50.0,True,45.757647,-63.102166,Enercon,E-48/800
Martock Ridge,1686,Nova Scotia,3,2015,6.0,MAT3,3/3,2000.0,Neither,100.0,False,95.0,False,44.9317602396442,-64.1128335916721,Vestas,V100/2000
Maryvale,1556,Nova Scotia,4,2010,6.0,MAR4,4/4,1500.0,Neither,77.0,False,85.0,False,45.7328785350398,-62.0626139739526,Vensys,V77
Massif du Sud,5598,Quebec,75,2013,150.0,MDS9,9/75,2000.0,Neither,92.0,False,80.0,False,46.6088093809095,-70.3881022410676,Senvion,MM92
McBride Lake,145,Alberta,115,2003,75.0,MBL99,99/115,660.0,Neither,50.0,False,47.0,False,49.6271284659032,-113.45103812924,Vestas,V47/660
Mclean's Mountain,3343,Ontario,24,2014,60.0,MCM9,9/24,2850.0,Neither,103.0,False,98.0,False,45.9486928532612,-81.942114922645,GE,GE 2.85-103
Meikle,1178,British Columbia,61,2017,179.0,MEI9,9/61,3200.0,Neither,120.0,False,110.0,False,55.299404,-121.424246,GE,GE 3.2-103
Melancthon,4448,Ontario,133,2008,199.5,MEL99,99/133,1500.0,Neither,77.0,False,80.0,False,44.1602275771684,-80.256265295199,GE,GE 1.5SLE
Mesgi'g Ugju's'n,5853,Quebec,47,2016,149.25,MGU9,9/47,3200.0,Neither,114.0,False,100.0,False,48.3678849999999,-66.6581689999999,Senvion,3.2 M114
Millbrook,1653,Nova Scotia,6,2014,6.0,MIB3,3/6,2000.0,Neither,100.0,False,95.0,True,45.3301261540075,-63.3423758436528,Vestas,V100/2000
Mohawk,2078,Ontario,6,2008,9.9,MOH6,6/6,1650.0,Neither,82.0,False,80.0,False,42.8640617823367,-79.4825209019101,Vestas,V82/1650
Mont Copper,6041,Quebec,30,2005,54.0,MCR9,9/30,1800.0,Neither,80.0,False,67.0,False,48.9788982688792,-65.5283123661503,Vestas,V80
Mont Louis,5081,Quebec,67,2011,100.5,MLO9,9/67,1500.0,Neither,77.0,False,80.0,False,49.2249237506355,-65.6022391955515,GE,GE 1.5SLE
Mont Miller,4714,Quebec,30,2005,54.0,MMR9,9/30,1800.0,Neither,80.0,False,80.0,False,49.0038026659419,-65.4563183976162,Vestas,V80
Mont Sainte-Marguerite,5945,Quebec,46,2018,147.2,MSM9,9/46,3200.0,Neither,113.0,False,92.5,False,46.3750857112402,-71.0544637404524,Siemens,SWT 3.2-113
Mont-Rothery,5798,Quebec,37,2015,74.0,MRY9,9/37,2000.0,Neither,92.0,False,80.0,False,49.001519,-65.3438629999999,Senvion,MM92
Montagne-Sèche,5120,Quebec,39,2011,58.5,MSH9,9/39,1500.0,Neither,77.0,False,80.0,False,49.1934328066434,-64.8834772985628,GE,GE 1.5SLE
Montérégie,5224,Quebec,44,2012,101.2,MGE9,9/44,2300.0,Neither,82.0,False,98.0,False,45.3212423185942,-73.5675671868938,Enercon,E-82
Moorefield Wind Project,4155,Ontario,1,2017,0.5,MWP1,1/1,500.0,Neither,47.0,False,65.0,False,43.8297484938197,-80.7595744946832,Vestas,V47/500
Moose Lake,1192,British Columbia,4,2019,15.0,MOL4,4/4,3750.0,Derated,141.0,False,99.0,False,55.292758,-121.263866,Enercon,E-141/4200
Morse,6670,Saskatchewan,10,2015,23.0,MRS9,9/10,2300.0,Neither,113.0,False,79.5,False,50.352447,-106.95416,Siemens,SWT 2.3-113
Mother Earth Renewable Energy,2735,Ontario,2,2012,4.0,MER2,2/2,2000.0,Neither,82.0,False,80.0,False,45.8212506781192,-82.1435379440528,Enercon,E-82/2000
Mulgrave,1654,Nova Scotia,1,2014,2.35,MUG1,1/1,2350.0,Neither,92.0,False,98.0,False,45.620215,-61.434952,Enercon,E-92
Napier,3918,Ontario,2,2015,4.1,NAP2,2/2,2050.0,Neither,92.5,False,100.0,False,42.961065491043,-81.7180774440626,Senvion,MM92
Naylor (Thames River II),2409,Ontario,45,2010,50.0,THM30,30/45,2000.0,Neither,82.0,False,78.0,False,42.1968099610861,-82.7954544860809,Enercon,E-82/2000
New Glasgow (Maclellan's Brook),1690,Nova Scotia,4,2015,6.4,NGM4,4/4,1600.0,Neither,82.5,False,80.0,False,45.5087869418894,-62.6023609363388,GE,GE 1.6-82.5
New Richmond,5631,Quebec,33,2013,67.8,NRI9,9/33,2300.0,Neither,82.0,False,98.0,False,48.2386347896483,-65.6522378570695,Enercon,E82 E2.3
New Victoria Wind Turbine,1768,Nova Scotia,1,2017,2.35,NVW1,1/1,2350.0,Neither,92.0,False,98.0,False,46.243507,-60.136882,Enercon,E-92
Niagara Region,4105,Ontario,77,2016,230.0,NIA9,9/77,3000.0,Neither,101.0,False,124.0,False,43.0892123142841,-79.3982488836326,Enercon,E-101/3000
Nicolas-Riou,6010,Quebec,65,2018,224.25,NRU9,9/65,3450.0,Neither,117.0,False,116.5,False,48.19011,-68.7696939999999,Vestas,V117/3450
Nine Mile River,1692,Nova Scotia,2,2015,4.0,NMR2,2/2,2000.0,Neither,100.0,False,100.0,False,45.02784,-63.655205,Vestas,V100/2000
North Beaver Bank Community Wind,1696,Nova Scotia,4,2015,7.96,NBB4,4/4,1990.0,Derated,100.0,False,100.0,False,44.9251065986648,-63.6780285161426,Vestas,V100/2000
North Cape Wind Farm Phase 1,4456,Prince Edward Island,16,2001,10.56,NCW8,8/16,660.0,Neither,47.0,False,50.0,False,47.0543426,-63.9945475,Vestas,V47
North Cape Wind Farm Phase 2,4465,Prince Edward Island,16,2004,10.56,NCW9,9/16,660.0,Neither,47.0,False,50.0,False,47.0505238,-63.9931115,Vestas,V47
North Kent Wind Farm,4225,Ontario,34,2018,100.0,NRK9,9/34,3200.0,Neither,113.0,False,99.5,False,42.5628734086752,-82.187479047632,Siemens,SWT 3.2-113
